absolutističnostima | ABSOLUTISTIČNOST - [pravopis]
meddisciplinskostma | MEDDISCIPLINSKOST - [pravopis]
meddisciplinskostmi | MEDDISCIPLINSKOST - [pravopis]
mednarodnopolitičen | nanašajoč se na mednarodno politiko
mednarodnopolitična | MEDNARODNOPOLITIČEN - nanašajoč se na mednarodno politiko
mednarodnopolitične | MEDNARODNOPOLITIČEN - nanašajoč se na mednarodno politiko
mednarodnopolitični | MEDNARODNOPOLITIČEN - nanašajoč se na mednarodno politiko
mednarodnopolitično | MEDNARODNOPOLITIČEN - nanašajoč se na mednarodno politiko
melodramatičnostima | MELODRAMATIČNOST - [pravopis]
meningoencefalitisa | MENINGOENCEFALITIS - vnetje možganskih ovojnic in možganskega tkiva
meningoencefalitise | MENINGOENCEFALITIS - vnetje možganskih ovojnic in možganskega tkiva
meningoencefalitisi | MENINGOENCEFALITIS - vnetje možganskih ovojnic in možganskega tkiva
meningoencefalitisu | MENINGOENCEFALITIS - vnetje možganskih ovojnic in možganskega tkiva
mentalnohigienskega | MENTALNOHIGIENSKI - nanašajoč se na mentalno higieno
mentalnohigienskemu | MENTALNOHIGIENSKI - nanašajoč se na mentalno higieno
mentalnohigienskima | MENTALNOHIGIENSKI - nanašajoč se na mentalno higieno
mentalnohigienskimi | MENTALNOHIGIENSKI - nanašajoč se na mentalno higieno
merkaptoimidazoloma | MERKAPTOIMIDAZOLI - [farm.] tirostatiki s petčlenskim imidazolnim obročem in možno tioketo-tioenol tavtomerijo, ki kot zaviralci tiroidne peroksidaze onemogočajo biosintezo ščitničnih hormonov, npr. tiouracil, metiltiouracil
mesnopredelovalnega | MESNOPREDELOVALEN - [pravopis]
mesnopredelovalnemu | MESNOPREDELOVALEN - [pravopis]
mesnopredelovalnima | MESNOPREDELOVALEN - [pravopis]
mesnopredelovalnimi | MESNOPREDELOVALEN - [pravopis]
metropolitanizacija | [urb.] proces oblikovanja velikih mestnih regij z enim ali več mesti in s pripadajočimi vplivnimi območji, ki se povezujejo v sistem globalnih metropol
metropolitanizacije | METROPOLITANIZACIJA - [urb.] proces oblikovanja velikih mestnih regij z enim ali več mesti in s pripadajočimi vplivnimi območji, ki se povezujejo v sistem globalnih metropol
metropolitanizaciji | METROPOLITANIZACIJA - [urb.] proces oblikovanja velikih mestnih regij z enim ali več mesti in s pripadajočimi vplivnimi območji, ki se povezujejo v sistem globalnih metropol
metropolitanizacijo | METROPOLITANIZACIJA - [urb.] proces oblikovanja velikih mestnih regij z enim ali več mesti in s pripadajočimi vplivnimi območji, ki se povezujejo v sistem globalnih metropol
mezogeosinklinalama | MEZOGEOSINKLINALA - [geol.] geosinklinala iz mezozoika
mezogeosinklinalami | MEZOGEOSINKLINALA - [geol.] geosinklinala iz mezozoika
mezoklimatologijama | MEZOKLIMATOLOGIJA - [agr.] klimatologija, ki proučuje klimatske razmere v ozračju na območju Zemljinega površja, velikem od 1 km do 100 km
mezoklimatologijami | MEZOKLIMATOLOGIJA - [agr.] klimatologija, ki proučuje klimatske razmere v ozračju na območju Zemljinega površja, velikem od 1 km do 100 km
mezometeorologijama | MEZOMETEOROLOGIJA - [agr.] meteorologija, ki proučuje pojave v ozračju na območju Zemljinega površja, velikem od 1 km do 100 km
mezometeorologijami | MEZOMETEOROLOGIJA - [agr.] meteorologija, ki proučuje pojave v ozračju na območju Zemljinega površja, velikem od 1 km do 100 km
mezostigmatofitinah | MEZOSTIGMATOFITINE - [bot.] poddeblo streptofitov (Streptophyta), ki vključuje skupino običkanih sladkovodnih višjih zelenih alg, z dvema neenakima bičkoma, z značilnimi luskami v celični steni in je po analizi DNK izvorna skupina streptofitov (Streptophyta)
mezostigmatofitinam | MEZOSTIGMATOFITINE - [bot.] poddeblo streptofitov (Streptophyta), ki vključuje skupino običkanih sladkovodnih višjih zelenih alg, z dvema neenakima bičkoma, z značilnimi luskami v celični steni in je po analizi DNK izvorna skupina streptofitov (Streptophyta)
mikoheterotrofijama | MIKOHETEROTROFIJA - [bot.] simbioza, pri kateri heterotrofna rastlina organske snovi črpa iz glivnega simbionta, ta pa jih pridobiva od fotoavtotrofnega rastlinskega partnerja
mikoheterotrofijami | MIKOHETEROTROFIJA - [bot.] simbioza, pri kateri heterotrofna rastlina organske snovi črpa iz glivnega simbionta, ta pa jih pridobiva od fotoavtotrofnega rastlinskega partnerja
mikroalbuminurijama | MIKROALBUMINURIJA - [farm.] majhno povišanje koncentracije albumina v drugem jutranjem urinu ali v 24-urnem urinu, pogosto povezano s prisotnostjo diabetične nefropatije ali visokim tveganjem za njen razvoj
mikroalbuminurijami | MIKROALBUMINURIJA - [farm.] majhno povišanje koncentracije albumina v drugem jutranjem urinu ali v 24-urnem urinu, pogosto povezano s prisotnostjo diabetične nefropatije ali visokim tveganjem za njen razvoj
mikrobombardiranjem | MIKROBOMBARDIRANJE - [farm.] fizikalna metoda transfekcije v evkariontske celice z obstreljevanjem tkiv z DNA, ki je vezana na inertne delce elementarnega zlata, srebra ali volframa
mikrobombardiranjih | MIKROBOMBARDIRANJE - [farm.] fizikalna metoda transfekcije v evkariontske celice z obstreljevanjem tkiv z DNA, ki je vezana na inertne delce elementarnega zlata, srebra ali volframa
mikroforaminiferama | MIKROFORAMINIFERA - [geol.] foraminifera s hišico, manjšo od 2 mm
mikroforaminiferami | MIKROFORAMINIFERA - [geol.] foraminifera s hišico, manjšo od 2 mm
mikroklimatologijah | MIKROKLIMATOLOGIJA - [agr.] klimatologija, ki proučuje klimatske razmere v ozračju na območju Zemljinega površja, manjšem od 1 km
mikroklimatologijam | MIKROKLIMATOLOGIJA - [agr.] klimatologija, ki proučuje klimatske razmere v ozračju na območju Zemljinega površja, manjšem od 1 km
mikromanipulacijama | MIKROMANIPULACIJA - [avt.] tehnologija za izvedbo naloge z uporabo mikrorobotskega sistema
mikromanipulacijami | MIKROMANIPULACIJA - [avt.] tehnologija za izvedbo naloge z uporabo mikrorobotskega sistema
mikromanipulatorjem | MIKROMANIPULATOR - > MIKROROBOTSKI - [avt.] v zvezi »mikrorobotski sistem«: robotski sistem, ki vsebuje mikromanipulatorje, mikroobdelovalne stroje in vmesnike človek-stroj, npr. haptični vmesnik
mikromanipulatorjev | MIKROMANIPULATOR - > MIKROROBOTSKI - [avt.] v zvezi »mikrorobotski sistem«: robotski sistem, ki vsebuje mikromanipulatorje, mikroobdelovalne stroje in vmesnike človek-stroj, npr. haptični vmesnik
mikromanipulatorjih | MIKROMANIPULATOR - > MIKROROBOTSKI - [avt.] v zvezi »mikrorobotski sistem«: robotski sistem, ki vsebuje mikromanipulatorje, mikroobdelovalne stroje in vmesnike človek-stroj, npr. haptični vmesnik
mikrometeorologijah | MIKROMETEOROLOGIJA - [agr.] meteorologija, ki proučuje pojave v ozračju na območju Zemljinega površja, manjšem od 1 km
mikrometeorologijam | MIKROMETEOROLOGIJA - [agr.] meteorologija, ki proučuje pojave v ozračju na območju Zemljinega površja, manjšem od 1 km
mikropaleontologija | [geol.] področje paleontologije, ki obravnava mikrofosile
mikropaleontologije | MIKROPALEONTOLOGIJA - [geol.] področje paleontologije, ki obravnava mikrofosile
mikropaleontologiji | MIKROPALEONTOLOGIJA - [geol.] področje paleontologije, ki obravnava mikrofosile
mikropaleontologijo | MIKROPALEONTOLOGIJA - [geol.] področje paleontologije, ki obravnava mikrofosile
mikroračunalniškega | MIKRORAČUNALNIŠKI - [avt.] v zvezi »mikroračunalniški regulator«: regulator, ki ga sestavljata mikroprocesor s pripadajočimi pomnilniškimi in vhodno-izhodnimi enotami ter čelna plošča s prikazovalnikom in tipkami za upravljanje
mikroračunalniškemu | MIKRORAČUNALNIŠKI - [avt.] v zvezi »mikroračunalniški regulator«: regulator, ki ga sestavljata mikroprocesor s pripadajočimi pomnilniškimi in vhodno-izhodnimi enotami ter čelna plošča s prikazovalnikom in tipkami za upravljanje
mikroračunalniškima | MIKRORAČUNALNIŠKI - [avt.] v zvezi »mikroračunalniški regulator«: regulator, ki ga sestavljata mikroprocesor s pripadajočimi pomnilniškimi in vhodno-izhodnimi enotami ter čelna plošča s prikazovalnikom in tipkami za upravljanje
mikroračunalniškimi | MIKRORAČUNALNIŠKI - [avt.] v zvezi »mikroračunalniški regulator«: regulator, ki ga sestavljata mikroprocesor s pripadajočimi pomnilniškimi in vhodno-izhodnimi enotami ter čelna plošča s prikazovalnikom in tipkami za upravljanje
mikrorajonizacijama | MIKRORAJONIZACIJA - [geol.] opredelitev geoloških in geofizikalnih dejavnikov na določenem ožjem območju
mikrorajonizacijami | MIKRORAJONIZACIJA - [geol.] opredelitev geoloških in geofizikalnih dejavnikov na določenem ožjem območju
mikrorazmnoževanjem | MIKRORAZMNOŽEVANJE - [agr.] vegetativno razmnoževanje posebej majhnih delov rastline, npr. meristemov, nodijskih izsečkov, ki poteka v tkivni kulturi
mikrorazmnoževanjih | MIKRORAZMNOŽEVANJE - [agr.] vegetativno razmnoževanje posebej majhnih delov rastline, npr. meristemov, nodijskih izsečkov, ki poteka v tkivni kulturi
mikrorazpršilnikoma | MIKRORAZPRŠILNIK - > ULTRANIZEK - [agr.] v zvezi »ultranizki volumen«: formulacija FFS, ki se uporablja v zelo majhnih odmerkih s posebnimi mikrorazpršilniki za neposredno tretiranje tal ali rastlin, npr. z droni 2 l na 10 ha
mikrostratigrafijah | MIKROSTRATIGRAFIJA - [geol.] stratigrafija najmanjših delov geološke formacije
mikrostratigrafijam | MIKROSTRATIGRAFIJA - [geol.] stratigrafija najmanjših delov geološke formacije
militarističnostima | MILITARISTIČNOST - [pravopis]
militariziranostima | MILITARIZIRANOST - [pravopis]
mineralokortikoidih | MINERALOKORTIKOID - [farm.] naravni ali sintezni kortikosteroid, ki vpliva na homeostazo natrijevih in kalijevih ionov v zunajcelični tekočini ter na volumen zunajcelične tekočine, v distalnih ledvičnih cevkah spodbuja reabsorpcijo natrijevih ionov v zamenjavo za izločene kalijeve in vodikove ione
mineralokortikoidom | MINERALOKORTIKOID - [farm.] naravni ali sintezni kortikosteroid, ki vpliva na homeostazo natrijevih in kalijevih ionov v zunajcelični tekočini ter na volumen zunajcelične tekočine, v distalnih ledvičnih cevkah spodbuja reabsorpcijo natrijevih ionov v zamenjavo za izločene kalijeve in vodikove ione
mineralokortikoidov | MINERALOKORTIKOID - [farm.] naravni ali sintezni kortikosteroid, ki vpliva na homeostazo natrijevih in kalijevih ionov v zunajcelični tekočini ter na volumen zunajcelične tekočine, v distalnih ledvičnih cevkah spodbuja reabsorpcijo natrijevih ionov v zamenjavo za izločene kalijeve in vodikove ione
minimalističnostima | MINIMALISTIČNOST - [pravopis]
mlajšepaleozojskega | MLAJŠEPALEOZOJSKI - > INDOARMENSKI - [geol.] v zvezi »indoarmenska favna«: mlajšepaleozojska favna srednje Azije
mlajšepaleozojskemu | MLAJŠEPALEOZOJSKI - > INDOARMENSKI - [geol.] v zvezi »indoarmenska favna«: mlajšepaleozojska favna srednje Azije
mlajšepaleozojskima | MLAJŠEPALEOZOJSKI - > INDOARMENSKI - [geol.] v zvezi »indoarmenska favna«: mlajšepaleozojska favna srednje Azije
mlajšepaleozojskimi | MLAJŠEPALEOZOJSKI - > INDOARMENSKI - [geol.] v zvezi »indoarmenska favna«: mlajšepaleozojska favna srednje Azije
mlajšepleistocenska | MLAJŠEPLEISTOCENSKI - > EEMSKI - [geog.] v zvezi »eemska otoplitev«: mlajšepleistocenska otoplitev na severu Evrope, med 130.000 in okrog 100.000 leti pred sedanjostjo, primerljiva z riško-würmsko medledeno dobo ali otoplitvijo v Alpah
mlajšepleistocenske | MLAJŠEPLEISTOCENSKI - > EEMSKI - [geog.] v zvezi »eemska otoplitev«: mlajšepleistocenska otoplitev na severu Evrope, med 130.000 in okrog 100.000 leti pred sedanjostjo, primerljiva z riško-würmsko medledeno dobo ali otoplitvijo v Alpah
mlajšepleistocenski | > EEMSKI - [geog.] v zvezi »eemska otoplitev«: mlajšepleistocenska otoplitev na severu Evrope, med 130.000 in okrog 100.000 leti pred sedanjostjo, primerljiva z riško-würmsko medledeno dobo ali otoplitvijo v Alpah
mlajšepleistocensko | MLAJŠEPLEISTOCENSKI - > EEMSKI - [geog.] v zvezi »eemska otoplitev«: mlajšepleistocenska otoplitev na severu Evrope, med 130.000 in okrog 100.000 leti pred sedanjostjo, primerljiva z riško-würmsko medledeno dobo ali otoplitvijo v Alpah
molekularnobiološka | MOLEKULARNOBIOLOŠKI - > DETERMINACIJA - [bot.] določitev organizma, ki temelji na njegovih morfoloških, molekularnobioloških, biokemičnih, ekoloških lastnostih
molekularnobiološke | MOLEKULARNOBIOLOŠKI - > DETERMINACIJA - [bot.] določitev organizma, ki temelji na njegovih morfoloških, molekularnobioloških, biokemičnih, ekoloških lastnostih
molekularnobiološki | > DETERMINACIJA - [bot.] določitev organizma, ki temelji na njegovih morfoloških, molekularnobioloških, biokemičnih, ekoloških lastnostih
molekularnobiološko | MOLEKULARNOBIOLOŠKI - > DETERMINACIJA - [bot.] določitev organizma, ki temelji na njegovih morfoloških, molekularnobioloških, biokemičnih, ekoloških lastnostih
monarhofašističnega | MONARHOFAŠISTIČEN - nanašajoč se na monarhofašiste ali monarhofašizem
monarhofašističnemu | MONARHOFAŠISTIČEN - nanašajoč se na monarhofašiste ali monarhofašizem
monarhofašističnima | MONARHOFAŠISTIČEN - nanašajoč se na monarhofašiste ali monarhofašizem
monarhofašističnimi | MONARHOFAŠISTIČEN - nanašajoč se na monarhofašiste ali monarhofašizem
monoacilgliceroloma | MONOACILGLICEROL - > LIPAZA - [farm.] predstavnik skupine encimov, ki hidrolizirajo trigliceride v di- in monoacilglicerole ter maščobne kisline, npr. pankreatična, hepatična ali lipoproteinska lipaza
monoaminooksidazama | MONOAMINOOKSIDAZA - [farm.] v zvezi »inhibitor monoaminooksidaz«: učinkovina, ki kot encimski zaviralec preprečuje oksidativno pretvorbo primarnih aminov in zvišuje njihovo koncentracijo v organizmu
monoaminooksidazami | MONOAMINOOKSIDAZA - [farm.] v zvezi »inhibitor monoaminooksidaz«: učinkovina, ki kot encimski zaviralec preprečuje oksidativno pretvorbo primarnih aminov in zvišuje njihovo koncentracijo v organizmu
monobromnaftalenoma | MONOBROMNAFTALEN - [gem.]
monopolističnostima | MONOPOLISTIČNOST - [pravopis]
monosubstituiranega | MONOSUBSTITUIRAN - > HIDROKSILIRANJE - [farm.] v zvezi »hidroksiliranje aromatskega obroča«: metabolična reakcija I. reda iz skupine oksidacij, pri kateri se aromatski obroč oksidira, navadno na mestu 4 pri monosubstituiranem benzenovem obroču
monosubstituiranemu | MONOSUBSTITUIRAN - > HIDROKSILIRANJE - [farm.] v zvezi »hidroksiliranje aromatskega obroča«: metabolična reakcija I. reda iz skupine oksidacij, pri kateri se aromatski obroč oksidira, navadno na mestu 4 pri monosubstituiranem benzenovem obroču
monosubstituiranima | MONOSUBSTITUIRAN - > HIDROKSILIRANJE - [farm.] v zvezi »hidroksiliranje aromatskega obroča«: metabolična reakcija I. reda iz skupine oksidacij, pri kateri se aromatski obroč oksidira, navadno na mestu 4 pri monosubstituiranem benzenovem obroču
monosubstituiranimi | MONOSUBSTITUIRAN - > HIDROKSILIRANJE - [farm.] v zvezi »hidroksiliranje aromatskega obroča«: metabolična reakcija I. reda iz skupine oksidacij, pri kateri se aromatski obroč oksidira, navadno na mestu 4 pri monosubstituiranem benzenovem obroču
monteverestovčevega | MONTEVERESTOVČEV - [pravopis]
monteverestovčevemu | MONTEVERESTOVČEV - [pravopis]
monteverestovčevima | MONTEVERESTOVČEV - [pravopis]
monteverestovčevimi | MONTEVERESTOVČEV - [pravopis]
montmorillonitovega | MONTMORILLONITOV - > BEIDELLIT - [geol.] svetlorumenkast ali svetlorjavkast monoklinski mineral montmorillonitove skupine, aluminijev montmorillonit
montmorillonitovemu | MONTMORILLONITOV - > BEIDELLIT - [geol.] svetlorumenkast ali svetlorjavkast monoklinski mineral montmorillonitove skupine, aluminijev montmorillonit
montmorillonitovima | MONTMORILLONITOV - > BEIDELLIT - [geol.] svetlorumenkast ali svetlorjavkast monoklinski mineral montmorillonitove skupine, aluminijev montmorillonit
montmorillonitovimi | MONTMORILLONITOV - > BEIDELLIT - [geol.] svetlorumenkast ali svetlorjavkast monoklinski mineral montmorillonitove skupine, aluminijev montmorillonit
monumentaliziranega | MONUMENTALIZIRATI - napraviti kaj monumentalno
monumentaliziranemu | MONUMENTALIZIRATI - napraviti kaj monumentalno
monumentaliziranima | MONUMENTALIZIRATI - napraviti kaj monumentalno
monumentaliziranimi | MONUMENTALIZIRATI - napraviti kaj monumentalno
mounteverestovskega | MOUNTEVERESTOVSKI - [pravopis]
mounteverestovskemu | MOUNTEVERESTOVSKI - [pravopis]
mounteverestovskima | MOUNTEVERESTOVSKI - [pravopis]
mounteverestovskimi | MOUNTEVERESTOVSKI - [pravopis]
multidisciplinarnem | MULTIDISCIPLINAREN - nanašajoč se na več disciplin, večdisciplinaren
multidisciplinarnih | MULTIDISCIPLINAREN - nanašajoč se na več disciplin, večdisciplinaren
multidisciplinarnim | MULTIDISCIPLINAREN - nanašajoč se na več disciplin, večdisciplinaren
multikulturalizmoma | MULTIKULTURALIZEM - nazor o možnosti soobstajanja več različnih kultur na določenem ozemlju
multikulturalnostih | MULTIKULTURALNOST - soobstajanje več kultur različnih skupnosti na določenem ozemlju
multikulturalnostim | MULTIKULTURALNOST - soobstajanje več kultur različnih skupnosti na določenem ozemlju
multikulturalnostjo | MULTIKULTURALNOST - soobstajanje več kultur različnih skupnosti na določenem ozemlju
multikulturalnostma | MULTIKULTURALNOST - soobstajanje več kultur različnih skupnosti na določenem ozemlju
multikulturalnostmi | MULTIKULTURALNOST - soobstajanje več kultur različnih skupnosti na določenem ozemlju
multilateralnostima | MULTILATERALNOST - [pravopis]
multiplekskartonoma | MULTIPLEKSKARTON - [pravopis]
nacionalističnostih | NACIONALISTIČNOST - [pravopis]
nacionalističnostim | NACIONALISTIČNOST - [pravopis]
nacionalističnostjo | NACIONALISTIČNOST - [pravopis]
nacionalističnostma | NACIONALISTIČNOST - [pravopis]
nacionalističnostmi | NACIONALISTIČNOST - [pravopis]
nacionaliziranostih | NACIONALIZIRANOST - [pravopis]
nacionaliziranostim | NACIONALIZIRANOST - [pravopis]
nacionaliziranostjo | NACIONALIZIRANOST - [pravopis]
nacionaliziranostma | NACIONALIZIRANOST - [pravopis]
nacionaliziranostmi | NACIONALIZIRANOST - [pravopis]
nacionalnoekonomska | NACIONALNOEKONOMSKI - [pravopis]
nacionalnoekonomske | NACIONALNOEKONOMSKI - [pravopis]
nacionalnoekonomski | [pravopis]
nacionalnoekonomsko | NACIONALNOEKONOMSKI - [pravopis]
nacionalsocialistih | NACIONALSOCIALIST - pristaš nacionalsocializma
nacionalsocialistka | [pravopis]
nacionalsocialistke | NACIONALSOCIALISTKA - [pravopis]
nacionalsocialistki | NACIONALSOCIALISTKA - [pravopis]
nacionalsocialistko | NACIONALSOCIALISTKA - [pravopis]
nacionalsocialistom | NACIONALSOCIALIST - pristaš nacionalsocializma
nacionalsocialistov | NACIONALSOCIALIST - pristaš nacionalsocializma
nacionalsocializmih | NACIONALSOCIALIZEM - nemški fašizem, za katerega je značilen izrazit rasizem in antisemitizem
nacionalsocializmom | NACIONALSOCIALIZEM - nemški fašizem, za katerega je značilen izrazit rasizem in antisemitizem
nacionalsocializmov | NACIONALSOCIALIZEM - nemški fašizem, za katerega je značilen izrazit rasizem in antisemitizem
nadrealističnostima | NADREALISTIČNOST - [pravopis]
najavtoritativnejša | AVTORITATIVEN - nanašajoč se na avtoriteto
najavtoritativnejše | AVTORITATIVEN - nanašajoč se na avtoriteto
najavtoritativnejši | AVTORITATIVEN - nanašajoč se na avtoriteto
najavtoritativnejšo | AVTORITATIVEN - nanašajoč se na avtoriteto
najčastihlepnejšega | ČASTIHLEPEN - ki hlepi po časti, slavi
najčastihlepnejšemu | ČASTIHLEPEN - ki hlepi po časti, slavi
najčastihlepnejšima | ČASTIHLEPEN - ki hlepi po časti, slavi
najčastihlepnejšimi | ČASTIHLEPEN - ki hlepi po časti, slavi
najčastitljivejšega | ČASTITLJIV - ki vzbuja spoštovanje zaradi starosti
najčastitljivejšemu | ČASTITLJIV - ki vzbuja spoštovanje zaradi starosti
najčastitljivejšima | ČASTITLJIV - ki vzbuja spoštovanje zaradi starosti
najčastitljivejšimi | ČASTITLJIV - ki vzbuja spoštovanje zaradi starosti
najdaljnosežnejšega | DALJNOSEŽEN - ki ima v prihodnost segajoč pomen, vpliv
najdaljnosežnejšemu | DALJNOSEŽEN - ki ima v prihodnost segajoč pomen, vpliv
najdaljnosežnejšima | DALJNOSEŽEN - ki ima v prihodnost segajoč pomen, vpliv
najdaljnosežnejšimi | DALJNOSEŽEN - ki ima v prihodnost segajoč pomen, vpliv
najdaljnovidnejšega | DALJNOVIDEN - ki dobro vidi samo oddaljene predmete
najdaljnovidnejšemu | DALJNOVIDEN - ki dobro vidi samo oddaljene predmete
najdaljnovidnejšima | DALJNOVIDEN - ki dobro vidi samo oddaljene predmete
najdaljnovidnejšimi | DALJNOVIDEN - ki dobro vidi samo oddaljene predmete
najdobičkanosnejšem | DOBIČKANOSEN - ki prinaša dobiček, korist
najdobičkanosnejših | DOBIČKANOSEN - ki prinaša dobiček, korist
najdobičkanosnejšim | DOBIČKANOSEN - ki prinaša dobiček, korist
najdobičkonosnejšem | DOBIČKONOSEN - ki prinaša dobiček, korist
najdobičkonosnejših | DOBIČKONOSEN - ki prinaša dobiček, korist
najdobičkonosnejšim | DOBIČKONOSEN - ki prinaša dobiček, korist
najdobrotljivejšega | DOBROTLJIV - ki (rad) izkazuje, deli dobrote
najdobrotljivejšemu | DOBROTLJIV - ki (rad) izkazuje, deli dobrote
najdobrotljivejšima | DOBROTLJIV - ki (rad) izkazuje, deli dobrote
najdobrotljivejšimi | DOBROTLJIV - ki (rad) izkazuje, deli dobrote
najdolgotrajnejšega | DOLGOTRAJEN - ki traja dolgo časa
najdolgotrajnejšemu | DOLGOTRAJEN - ki traja dolgo časa
najdolgotrajnejšima | DOLGOTRAJEN - ki traja dolgo časa
najdolgotrajnejšimi | DOLGOTRAJEN - ki traja dolgo časa
najekskluzivnejšega | EKSKLUZIVEN - ki je za izbran, zaključen krog ljudi
najekskluzivnejšemu | EKSKLUZIVEN - ki je za izbran, zaključen krog ljudi
najekskluzivnejšima | EKSKLUZIVEN - ki je za izbran, zaključen krog ljudi
najekskluzivnejšimi | EKSKLUZIVEN - ki je za izbran, zaključen krog ljudi
najekstenzivnejšega | EKSTENZIVEN - ki teži po razširjanju, večanju ne glede na izkoriščenost ali kvaliteto
najekstenzivnejšemu | EKSTENZIVEN - ki teži po razširjanju, večanju ne glede na izkoriščenost ali kvaliteto
najekstenzivnejšima | EKSTENZIVEN - ki teži po razširjanju, večanju ne glede na izkoriščenost ali kvaliteto
najekstenzivnejšimi | EKSTENZIVEN - ki teži po razširjanju, večanju ne glede na izkoriščenost ali kvaliteto
najelementarnejšega | ELEMENTAREN - ki vsebuje najnujnejše bistvene elemente česa
najelementarnejšemu | ELEMENTAREN - ki vsebuje najnujnejše bistvene elemente česa
najelementarnejšima | ELEMENTAREN - ki vsebuje najnujnejše bistvene elemente česa
najelementarnejšimi | ELEMENTAREN - ki vsebuje najnujnejše bistvene elemente česa
najfantastičnejšega | FANTASTIČEN - nanašajoč se na fantastiko
najfantastičnejšemu | FANTASTIČEN - nanašajoč se na fantastiko
najfantastičnejšima | FANTASTIČEN - nanašajoč se na fantastiko
najfantastičnejšimi | FANTASTIČEN - nanašajoč se na fantastiko
najfunkcionalnejšem | FUNKCIONALEN - ki ima poudarek na namenskosti, uporabnosti
najfunkcionalnejših | FUNKCIONALEN - ki ima poudarek na namenskosti, uporabnosti
najfunkcionalnejšim | FUNKCIONALEN - ki ima poudarek na namenskosti, uporabnosti
najgostobesednejšem | GOSTOBESEDEN - ki (rad) z mnogo besedami, obširno govori, pripoveduje
najgostobesednejših | GOSTOBESEDEN - ki (rad) z mnogo besedami, obširno govori, pripoveduje
najgostobesednejšim | GOSTOBESEDEN - ki (rad) z mnogo besedami, obširno govori, pripoveduje
najhladnokrvnejšega | HLADNOKRVEN - sposoben ostati miren, preudaren v razburljivih, zlasti nevarnih okoliščinah
najhladnokrvnejšemu | HLADNOKRVEN - sposoben ostati miren, preudaren v razburljivih, zlasti nevarnih okoliščinah
najhladnokrvnejšima | HLADNOKRVEN - sposoben ostati miren, preudaren v razburljivih, zlasti nevarnih okoliščinah
najhladnokrvnejšimi | HLADNOKRVEN - sposoben ostati miren, preudaren v razburljivih, zlasti nevarnih okoliščinah
najinteligentnejšem | INTELIGENTEN - nadarjen za umske dejavnosti
najinteligentnejših | INTELIGENTEN - nadarjen za umske dejavnosti
najinteligentnejšim | INTELIGENTEN - nadarjen za umske dejavnosti
najinteresantnejšem | INTERESANTEN - ki zaradi posebnih, navadno pozitivnih lastnosti vzbuja zanimanje ali pozornost, zanimiv
najinteresantnejših | INTERESANTEN - ki zaradi posebnih, navadno pozitivnih lastnosti vzbuja zanimanje ali pozornost, zanimiv
najinteresantnejšim | INTERESANTEN - ki zaradi posebnih, navadno pozitivnih lastnosti vzbuja zanimanje ali pozornost, zanimiv
najkompetentnejšega | KOMPETENTEN - nanašajoč se na kompetenco
najkompetentnejšemu | KOMPETENTEN - nanašajoč se na kompetenco
najkompetentnejšima | KOMPETENTEN - nanašajoč se na kompetenco
najkompetentnejšimi | KOMPETENTEN - nanašajoč se na kompetenco
najkonservativnejša | KONSERVATIVEN - ki izhaja iz konservativizma
najkonservativnejše | KONSERVATIVEN - ki izhaja iz konservativizma
najkonservativnejši | KONSERVATIVEN - ki izhaja iz konservativizma
najkonservativnejšo | KONSERVATIVEN - ki izhaja iz konservativizma
najkonzervativnejša | KONSERVATIVEN - ki izhaja iz konservativizma
najkonzervativnejše | KONSERVATIVEN - ki izhaja iz konservativizma
najkonzervativnejši | KONSERVATIVEN - ki izhaja iz konservativizma
najkonzervativnejšo | KONSERVATIVEN - ki izhaja iz konservativizma
najkratkočasnejšega | KRATKOČASEN - ki povzroča, ustvarja kratkočasje
najkratkočasnejšemu | KRATKOČASEN - ki povzroča, ustvarja kratkočasje
najkratkočasnejšima | KRATKOČASEN - ki povzroča, ustvarja kratkočasje
najkratkočasnejšimi | KRATKOČASEN - ki povzroča, ustvarja kratkočasje
najkratkotrajnejšem | KRATKOTRAJEN - ki traja malo časa
najkratkotrajnejših | KRATKOTRAJEN - ki traja malo časa
najkratkotrajnejšim | KRATKOTRAJEN - ki traja malo časa
najkratkovidnejšega | KRATKOVIDEN - ki dobro vidi samo bližnje predmete
najkratkovidnejšemu | KRATKOVIDEN - ki dobro vidi samo bližnje predmete
najkratkovidnejšima | KRATKOVIDEN - ki dobro vidi samo bližnje predmete
najkratkovidnejšimi | KRATKOVIDEN - ki dobro vidi samo bližnje predmete
najodkritosrčnejšem | ODKRITOSRČEN - ki govori, ravna tako, kot v resnici misli, čuti
najodkritosrčnejših | ODKRITOSRČEN - ki govori, ravna tako, kot v resnici misli, čuti
najodkritosrčnejšim | ODKRITOSRČEN - ki govori, ravna tako, kot v resnici misli, čuti
najoprijemljivejšem | OPRIJEMLJIV - s čuti zaznaven
najoprijemljivejših | OPRIJEMLJIV - s čuti zaznaven
najoprijemljivejšim | OPRIJEMLJIV - s čuti zaznaven
najperspektivnejšem | PERSPEKTIVEN - nanašajoč se na perspektivo
najperspektivnejših | PERSPEKTIVEN - nanašajoč se na perspektivo
najperspektivnejšim | PERSPEKTIVEN - nanašajoč se na perspektivo
najpopustljivejšega | POPUSTLJIV - ki ne vztraja pri svoji volji, svojem stališču
najpopustljivejšemu | POPUSTLJIV - ki ne vztraja pri svoji volji, svojem stališču
