acilfloroglucinoloma | ACILFLOROGLUCINOL - [farm.]
nacionalsocialistoma | NACIONALSOCIALIST - pristaš nacionalsocializma
nacionalsocializmoma | NACIONALSOCIALIZEM - nemški fašizem, za katerega je značilen izrazit rasizem in antisemitizem
najavtoritativnejšem | AVTORITATIVEN - nanašajoč se na avtoriteto
najavtoritativnejših | AVTORITATIVEN - nanašajoč se na avtoriteto
najavtoritativnejšim | AVTORITATIVEN - nanašajoč se na avtoriteto
najdobičkanosnejšega | DOBIČKANOSEN - ki prinaša dobiček, korist
najdobičkanosnejšemu | DOBIČKANOSEN - ki prinaša dobiček, korist
najdobičkanosnejšima | DOBIČKANOSEN - ki prinaša dobiček, korist
najdobičkanosnejšimi | DOBIČKANOSEN - ki prinaša dobiček, korist
najdobičkonosnejšega | DOBIČKONOSEN - ki prinaša dobiček, korist
najdobičkonosnejšemu | DOBIČKONOSEN - ki prinaša dobiček, korist
najdobičkonosnejšima | DOBIČKONOSEN - ki prinaša dobiček, korist
najdobičkonosnejšimi | DOBIČKONOSEN - ki prinaša dobiček, korist
najfunkcionalnejšega | FUNKCIONALEN - ki ima poudarek na namenskosti, uporabnosti
najfunkcionalnejšemu | FUNKCIONALEN - ki ima poudarek na namenskosti, uporabnosti
najfunkcionalnejšima | FUNKCIONALEN - ki ima poudarek na namenskosti, uporabnosti
najfunkcionalnejšimi | FUNKCIONALEN - ki ima poudarek na namenskosti, uporabnosti
najgostobesednejšega | GOSTOBESEDEN - ki (rad) z mnogo besedami, obširno govori, pripoveduje
najgostobesednejšemu | GOSTOBESEDEN - ki (rad) z mnogo besedami, obširno govori, pripoveduje
najgostobesednejšima | GOSTOBESEDEN - ki (rad) z mnogo besedami, obširno govori, pripoveduje
najgostobesednejšimi | GOSTOBESEDEN - ki (rad) z mnogo besedami, obširno govori, pripoveduje
najinteligentnejšega | INTELIGENTEN - nadarjen za umske dejavnosti
najinteligentnejšemu | INTELIGENTEN - nadarjen za umske dejavnosti
najinteligentnejšima | INTELIGENTEN - nadarjen za umske dejavnosti
najinteligentnejšimi | INTELIGENTEN - nadarjen za umske dejavnosti
najinteresantnejšega | INTERESANTEN - ki zaradi posebnih, navadno pozitivnih lastnosti vzbuja zanimanje ali pozornost, zanimiv
najinteresantnejšemu | INTERESANTEN - ki zaradi posebnih, navadno pozitivnih lastnosti vzbuja zanimanje ali pozornost, zanimiv
najinteresantnejšima | INTERESANTEN - ki zaradi posebnih, navadno pozitivnih lastnosti vzbuja zanimanje ali pozornost, zanimiv
najinteresantnejšimi | INTERESANTEN - ki zaradi posebnih, navadno pozitivnih lastnosti vzbuja zanimanje ali pozornost, zanimiv
najkonservativnejšem | KONSERVATIVEN - ki izhaja iz konservativizma
najkonservativnejših | KONSERVATIVEN - ki izhaja iz konservativizma
najkonservativnejšim | KONSERVATIVEN - ki izhaja iz konservativizma
najkonzervativnejšem | KONSERVATIVEN - ki izhaja iz konservativizma
najkonzervativnejših | KONSERVATIVEN - ki izhaja iz konservativizma
najkonzervativnejšim | KONSERVATIVEN - ki izhaja iz konservativizma
najkratkotrajnejšega | KRATKOTRAJEN - ki traja malo časa
najkratkotrajnejšemu | KRATKOTRAJEN - ki traja malo časa
najkratkotrajnejšima | KRATKOTRAJEN - ki traja malo časa
najkratkotrajnejšimi | KRATKOTRAJEN - ki traja malo časa
najodkritosrčnejšega | ODKRITOSRČEN - ki govori, ravna tako, kot v resnici misli, čuti
najodkritosrčnejšemu | ODKRITOSRČEN - ki govori, ravna tako, kot v resnici misli, čuti
najodkritosrčnejšima | ODKRITOSRČEN - ki govori, ravna tako, kot v resnici misli, čuti
najodkritosrčnejšimi | ODKRITOSRČEN - ki govori, ravna tako, kot v resnici misli, čuti
najoprijemljivejšega | OPRIJEMLJIV - s čuti zaznaven
najoprijemljivejšemu | OPRIJEMLJIV - s čuti zaznaven
najoprijemljivejšima | OPRIJEMLJIV - s čuti zaznaven
najoprijemljivejšimi | OPRIJEMLJIV - s čuti zaznaven
najperspektivnejšega | PERSPEKTIVEN - nanašajoč se na perspektivo
najperspektivnejšemu | PERSPEKTIVEN - nanašajoč se na perspektivo
najperspektivnejšima | PERSPEKTIVEN - nanašajoč se na perspektivo
najperspektivnejšimi | PERSPEKTIVEN - nanašajoč se na perspektivo
najpotrpežljivejšega | POTRPEŽLJIV - ki prenaša kaj neprijetnega, neugodnega brez izražanja nejevolje
najpotrpežljivejšemu | POTRPEŽLJIV - ki prenaša kaj neprijetnega, neugodnega brez izražanja nejevolje
najpotrpežljivejšima | POTRPEŽLJIV - ki prenaša kaj neprijetnega, neugodnega brez izražanja nejevolje
najpotrpežljivejšimi | POTRPEŽLJIV - ki prenaša kaj neprijetnega, neugodnega brez izražanja nejevolje
najpožrtvovalnejšega | POŽRTVOVALEN - ki si zelo prizadeva za dosego določenega cilja ne glede na trud, žrtve
najpožrtvovalnejšemu | POŽRTVOVALEN - ki si zelo prizadeva za dosego določenega cilja ne glede na trud, žrtve
najpožrtvovalnejšima | POŽRTVOVALEN - ki si zelo prizadeva za dosego določenega cilja ne glede na trud, žrtve
najpožrtvovalnejšimi | POŽRTVOVALEN - ki si zelo prizadeva za dosego določenega cilja ne glede na trud, žrtve
najprepričljivejšega | PREPRIČLJIV - ki ne vzbuja pomislekov, dvoma o resničnosti, pravilnosti
najprepričljivejšemu | PREPRIČLJIV - ki ne vzbuja pomislekov, dvoma o resničnosti, pravilnosti
najprepričljivejšima | PREPRIČLJIV - ki ne vzbuja pomislekov, dvoma o resničnosti, pravilnosti
najprepričljivejšimi | PREPRIČLJIV - ki ne vzbuja pomislekov, dvoma o resničnosti, pravilnosti
najpresenetljivejšem | PRESENETLJIV - ki koga preseneti
najpresenetljivejših | PRESENETLJIV - ki koga preseneti
najpresenetljivejšim | PRESENETLJIV - ki koga preseneti
najpretresljivejšega | PRETRESLJIV - ki vzbuja močen čustveni odziv, zlasti
najpretresljivejšemu | PRETRESLJIV - ki vzbuja močen čustveni odziv, zlasti
najpretresljivejšima | PRETRESLJIV - ki vzbuja močen čustveni odziv, zlasti
najpretresljivejšimi | PRETRESLJIV - ki vzbuja močen čustveni odziv, zlasti
najprizanesljivejšem | PRIZANESLJIV - ki za prestopek, negativno dejanje ne kaznuje rad
najprizanesljivejših | PRIZANESLJIV - ki za prestopek, negativno dejanje ne kaznuje rad
najprizanesljivejšim | PRIZANESLJIV - ki za prestopek, negativno dejanje ne kaznuje rad
najreakcionarnejšega | REAKCIONAREN - ki nasprotuje napredku, revolucionarnim spremembam in si prizadeva ohraniti staro
najreakcionarnejšemu | REAKCIONAREN - ki nasprotuje napredku, revolucionarnim spremembam in si prizadeva ohraniti staro
najreakcionarnejšima | REAKCIONAREN - ki nasprotuje napredku, revolucionarnim spremembam in si prizadeva ohraniti staro
najreakcionarnejšimi | REAKCIONAREN - ki nasprotuje napredku, revolucionarnim spremembam in si prizadeva ohraniti staro
najrevolucionarnejša | REVOLUCIONAREN - nanašajoč se na revolucionarje ali revolucijo
najrevolucionarnejše | REVOLUCIONAREN - nanašajoč se na revolucionarje ali revolucijo
najrevolucionarnejši | REVOLUCIONAREN - nanašajoč se na revolucionarje ali revolucijo
najrevolucionarnejšo | REVOLUCIONAREN - nanašajoč se na revolucionarje ali revolucijo
najsamozavestnejšega | SAMOZAVESTEN - prepričan o svoji sposobnosti, znanju, moči
najsamozavestnejšemu | SAMOZAVESTEN - prepričan o svoji sposobnosti, znanju, moči
najsamozavestnejšima | SAMOZAVESTEN - prepričan o svoji sposobnosti, znanju, moči
najsamozavestnejšimi | SAMOZAVESTEN - prepričan o svoji sposobnosti, znanju, moči
najsistematičnejšega | SISTEMATIČEN - ki poteka, je narejen po sistemu
najsistematičnejšemu | SISTEMATIČEN - ki poteka, je narejen po sistemu
najsistematičnejšima | SISTEMATIČEN - ki poteka, je narejen po sistemu
najsistematičnejšimi | SISTEMATIČEN - ki poteka, je narejen po sistemu
najsprejemljivejšega | SPREJEMLJIV - ki se da sprejeti, odobriti
najsprejemljivejšemu | SPREJEMLJIV - ki se da sprejeti, odobriti
najsprejemljivejšima | SPREJEMLJIV - ki se da sprejeti, odobriti
najsprejemljivejšimi | SPREJEMLJIV - ki se da sprejeti, odobriti
najširokopoteznejšem | ŠIROKOPOTEZEN - ki pri izvedbi česa zajema, upošteva veliko sestavin, kriterijev
najširokopoteznejših | ŠIROKOPOTEZEN - ki pri izvedbi česa zajema, upošteva veliko sestavin, kriterijev
najširokopoteznejšim | ŠIROKOPOTEZEN - ki pri izvedbi česa zajema, upošteva veliko sestavin, kriterijev
najvelikopoteznejšem | VELIKOPOTEZEN - ki zajema, upošteva veliko stvari in zahteva veliko dejanj
najvelikopoteznejših | VELIKOPOTEZEN - ki zajema, upošteva veliko stvari in zahteva veliko dejanj
najvelikopoteznejšim | VELIKOPOTEZEN - ki zajema, upošteva veliko stvari in zahteva veliko dejanj
najverodostojnejšega | VERODOSTOJEN - ki mu je verjeti
najverodostojnejšemu | VERODOSTOJEN - ki mu je verjeti
najverodostojnejšima | VERODOSTOJEN - ki mu je verjeti
najverodostojnejšimi | VERODOSTOJEN - ki mu je verjeti
najvznemirljivejšega | VZNEMIRLJIV - ki vznemirja
najvznemirljivejšemu | VZNEMIRLJIV - ki vznemirja
najvznemirljivejšima | VZNEMIRLJIV - ki vznemirja
najvznemirljivejšimi | VZNEMIRLJIV - ki vznemirja
naravovarstveničinem | NARAVOVARSTVENIČIN - [pravopis]
naravovarstveničinih | NARAVOVARSTVENIČIN - [pravopis]
naravovarstveničinim | NARAVOVARSTVENIČIN - [pravopis]
naravovarstvenostima | NARAVOVARSTVENOST - [pravopis]
narodnobuditeljskega | NARODNOBUDITELJSKI - nanašajoč se na narodne buditelje
narodnobuditeljskemu | NARODNOBUDITELJSKI - nanašajoč se na narodne buditelje
narodnobuditeljskima | NARODNOBUDITELJSKI - nanašajoč se na narodne buditelje
narodnobuditeljskimi | NARODNOBUDITELJSKI - nanašajoč se na narodne buditelje
narodnogospodarskega | NARODNOGOSPODARSKI - nanašajoč se na narodno gospodarstvo
narodnogospodarskemu | NARODNOGOSPODARSKI - nanašajoč se na narodno gospodarstvo
narodnogospodarskima | NARODNOGOSPODARSKI - nanašajoč se na narodno gospodarstvo
narodnogospodarskimi | NARODNOGOSPODARSKI - nanašajoč se na narodno gospodarstvo
narodnoosvobodilnega | NARODNOOSVOBODILEN - nanašajoč se na narodno osvoboditev
narodnoosvobodilnemu | NARODNOOSVOBODILEN - nanašajoč se na narodno osvoboditev
narodnoosvobodilnima | NARODNOOSVOBODILEN - nanašajoč se na narodno osvoboditev
narodnoosvobodilnimi | NARODNOOSVOBODILEN - nanašajoč se na narodno osvoboditev
narodnoosvobodilnost | [pravopis]
narodnoprebudnostima | NARODNOPREBUDNOST - [pravopis]
nedeterminiranostima | NEDETERMINIRANOST - [pravopis]
nediferenciranostima | NEDIFERENCIRANOST - [pravopis]
nediscipliniranostih | NEDISCIPLINIRANOST - lastnost, značilnost nediscipliniranega človeka
nediscipliniranostim | NEDISCIPLINIRANOST - lastnost, značilnost nediscipliniranega človeka
nediscipliniranostjo | NEDISCIPLINIRANOST - lastnost, značilnost nediscipliniranega človeka
nediscipliniranostma | NEDISCIPLINIRANOST - lastnost, značilnost nediscipliniranega človeka
nediscipliniranostmi | NEDISCIPLINIRANOST - lastnost, značilnost nediscipliniranega človeka
nediskriminatornosti | NEDISKRIMINATORNOST - [prav.] v zvezi »načelo nediskriminatornosti«: načelo, po katerem ni dovoljena diskriminacija posameznika, ki temelji na njegovih osebnih okoliščinah, kot so spol, rasno, narodnostno ali etnično poreklo, versko, politično ali drugo prepričanje, spolna usmerjenost, invalidnost
nedokumentiranostima | NEDOKUMENTIRANOST - [pravopis]
nekompromitiranostih | NEKOMPROMITIRANOST - [pravopis]
nekompromitiranostim | NEKOMPROMITIRANOST - [pravopis]
nekompromitiranostjo | NEKOMPROMITIRANOST - [pravopis]
nekompromitiranostma | NEKOMPROMITIRANOST - [pravopis]
nekompromitiranostmi | NEKOMPROMITIRANOST - [pravopis]
nekomunikativnostima | NEKOMUNIKATIVNOST - lastnost, značilnost nekomunikativnega
nekonfesionalnostima | NEKONFESIONALNOST - [sinonimni]
nekonstruktivnostima | NEKONSTRUKTIVNOST - [pravopis]
nekonvencionalnostih | NEKONVENCIONALNOST - lastnost, značilnost nekonvencionalnega
nekonvencionalnostim | NEKONVENCIONALNOST - lastnost, značilnost nekonvencionalnega
nekonvencionalnostjo | NEKONVENCIONALNOST - lastnost, značilnost nekonvencionalnega
nekonvencionalnostma | NEKONVENCIONALNOST - lastnost, značilnost nekonvencionalnega
nekonvencionalnostmi | NEKONVENCIONALNOST - lastnost, značilnost nekonvencionalnega
nekonvertibilnostima | NEKONVERTIBILNOST - lastnost, značilnost nekonvertibilnega
nekvalificiranostima | NEKVALIFICIRANOST - [pravopis]
nematerialističnosti | NEMATERIALISTIČNOST - [pravopis]
nenadomestljivostima | NENADOMESTLJIVOST - značilnost nenadomestljivega človeka
neodkritosrčničinega | NEODKRITOSRČNIČIN - [pravopis]
neodkritosrčničinemu | NEODKRITOSRČNIČIN - [pravopis]
neodkritosrčničinima | NEODKRITOSRČNIČIN - [pravopis]
neodkritosrčničinimi | NEODKRITOSRČNIČIN - [pravopis]
neokapitalističnosti | NEOKAPITALISTIČNOST - [pravopis]
neokolonialističnega | NEOKOLONIALISTIČEN - nanašajoč se na neokolonializem
neokolonialističnemu | NEOKOLONIALISTIČEN - nanašajoč se na neokolonializem
neokolonialističnima | NEOKOLONIALISTIČEN - nanašajoč se na neokolonializem
neokolonialističnimi | NEOKOLONIALISTIČEN - nanašajoč se na neokolonializem
neokolonialističnost | [pravopis]
neparlamentarnostima | NEPARLAMENTARNOST - [pravopis]
nepasteriziranostima | NEPASTERIZIRANOST - [pravopis]
nepredstavljivostima | NEPREDSTAVLJIVOST - [pravopis]
neprekoračljivostima | NEPREKORAČLJIVOST - [pravopis]
neprepričevalnostima | NEPREPRIČEVALNOST - [pravopis]
nepreračunljivostima | NEPRERAČUNLJIVOST - lastnost, značilnost nepreračunljivega
neprilagodljivostima | NEPRILAGODLJIVOST - lastnost, značilnost neprilagodljivega človeka
nepriporočljivostima | NEPRIPOROČLJIVOST - [pravopis]
neprivilegiranostima | NEPRIVILEGIRANOST - [pravopis]
neprizanesljivostima | NEPRIZANESLJIVOST - lastnost, značilnost neprizanesljivega človeka
neproblematičnostima | NEPROBLEMATIČNOST - [pravopis]
neproporcionalnostih | NEPROPORCIONALNOST - [pravopis]
neproporcionalnostim | NEPROPORCIONALNOST - [pravopis]
neproporcionalnostjo | NEPROPORCIONALNOST - [pravopis]
neproporcionalnostma | NEPROPORCIONALNOST - [pravopis]
neproporcionalnostmi | NEPROPORCIONALNOST - [pravopis]
nesemaforiziranostih | NESEMAFORIZIRANOST - [pravopis]
nesemaforiziranostim | NESEMAFORIZIRANOST - [pravopis]
nesemaforiziranostjo | NESEMAFORIZIRANOST - [pravopis]
nesemaforiziranostma | NESEMAFORIZIRANOST - [pravopis]
nesemaforiziranostmi | NESEMAFORIZIRANOST - [pravopis]
nesistemiziranostima | NESISTEMIZIRANOST - [pravopis]
nesocialističnostima | NESOCIALISTIČNOST - [pravopis]
nesocializiranostima | NESOCIALIZIRANOST - [pravopis]
nestandardiziranosti | NESTANDARDIZIRANOST - [pravopis]
netransparentnostima | NETRANSPARENTNOST - nerazvidnost, nejasnost
nezainteresiranostih | NEZAINTERESIRANOST - lastnost, značilnost nezainteresiranega človeka
nezainteresiranostim | NEZAINTERESIRANOST - lastnost, značilnost nezainteresiranega človeka
nezainteresiranostjo | NEZAINTERESIRANOST - lastnost, značilnost nezainteresiranega človeka
nezainteresiranostma | NEZAINTERESIRANOST - lastnost, značilnost nezainteresiranega človeka
nezainteresiranostmi | NEZAINTERESIRANOST - lastnost, značilnost nezainteresiranega človeka
nezakoreninjenostima | NEZAKORENINJENOST - [pravopis]
nizozemskoantilskega | NIZOZEMSKOANTILSKI - [pravopis]
nizozemskoantilskemu | NIZOZEMSKOANTILSKI - [pravopis]
nizozemskoantilskima | NIZOZEMSKOANTILSKI - [pravopis]
nizozemskoantilskimi | NIZOZEMSKOANTILSKI - [pravopis]
notranjeavstrijskega | NOTRANJEAVSTRIJSKI - nanašajoč se na južni del habsburškega ozemlja, katerega jedro so tvorile Štajerska, Koroška in Kranjska
notranjeavstrijskemu | NOTRANJEAVSTRIJSKI - nanašajoč se na južni del habsburškega ozemlja, katerega jedro so tvorile Štajerska, Koroška in Kranjska
notranjeavstrijskima | NOTRANJEAVSTRIJSKI - nanašajoč se na južni del habsburškega ozemlja, katerega jedro so tvorile Štajerska, Koroška in Kranjska
notranjeavstrijskimi | NOTRANJEAVSTRIJSKI - nanašajoč se na južni del habsburškega ozemlja, katerega jedro so tvorile Štajerska, Koroška in Kranjska
notranjepolitičnosti | NOTRANJEPOLITIČNOST - [pravopis]
novoustanovljenostih | NOVOUSTANOVLJENOST - [pravopis]
novoustanovljenostim | NOVOUSTANOVLJENOST - [pravopis]
novoustanovljenostjo | NOVOUSTANOVLJENOST - [pravopis]
novoustanovljenostma | NOVOUSTANOVLJENOST - [pravopis]
novoustanovljenostmi | NOVOUSTANOVLJENOST - [pravopis]
nravstvenokulturnega | NRAVSTVENOKULTUREN - [pravopis]
nravstvenokulturnemu | NRAVSTVENOKULTUREN - [pravopis]
nravstvenokulturnima | NRAVSTVENOKULTUREN - [pravopis]
nravstvenokulturnimi | NRAVSTVENOKULTUREN - [pravopis]
objektivističnostima | OBJEKTIVISTIČNOST - [pravopis]
obligacijskopravnega | OBLIGACIJSKOPRAVEN - [prav.] v zvezi »obligacijskopravna pogodba«: pogodba, s katero se urejajo obligacijska razmerja
obligacijskopravnemu | OBLIGACIJSKOPRAVEN - [prav.] v zvezi »obligacijskopravna pogodba«: pogodba, s katero se urejajo obligacijska razmerja
obligacijskopravnima | OBLIGACIJSKOPRAVEN - [prav.] v zvezi »obligacijskopravna pogodba«: pogodba, s katero se urejajo obligacijska razmerja
obligacijskopravnimi | OBLIGACIJSKOPRAVEN - [prav.] v zvezi »obligacijskopravna pogodba«: pogodba, s katero se urejajo obligacijska razmerja
oblikospreminjevalen | [pravopis]
oblikospreminjevalna | OBLIKOSPREMINJEVALEN - [pravopis]
oblikospreminjevalne | OBLIKOSPREMINJEVALEN - [pravopis]
oblikospreminjevalni | OBLIKOSPREMINJEVALEN - [pravopis]
oblikospreminjevalno | OBLIKOSPREMINJEVALEN - [pravopis]
obrtnonadaljevalnega | OBRTNONADALJEVALEN - poklicna šola
obrtnonadaljevalnemu | OBRTNONADALJEVALEN - poklicna šola
obrtnonadaljevalnima | OBRTNONADALJEVALEN - poklicna šola
obrtnonadaljevalnimi | OBRTNONADALJEVALEN - poklicna šola
odpošiljateljičinega | ODPOŠILJATELJIČIN - [pravopis]
odpošiljateljičinemu | ODPOŠILJATELJIČIN - [pravopis]
odpošiljateljičinima | ODPOŠILJATELJIČIN - [pravopis]
odpošiljateljičinimi | ODPOŠILJATELJIČIN - [pravopis]
okoljevarstveničinem | OKOLJEVARSTVENIČIN - [pravopis]
okoljevarstveničinih | OKOLJEVARSTVENIČIN - [pravopis]
okoljevarstveničinim | OKOLJEVARSTVENIČIN - [pravopis]
oksazolidindionskega | OKSAZOLIDINDIONSKI - [farm.] > OKSAZOLIDINSKI
oksazolidindionskemu | OKSAZOLIDINDIONSKI - [farm.] > OKSAZOLIDINSKI
oksazolidindionskima | OKSAZOLIDINDIONSKI - [farm.] > OKSAZOLIDINSKI
oksazolidindionskimi | OKSAZOLIDINDIONSKI - [farm.] > OKSAZOLIDINSKI
ontarijskojezerskega | ONTARIJSKOJEZERSKI - [pravopis]
ontarijskojezerskemu | ONTARIJSKOJEZERSKI - [pravopis]
ontarijskojezerskima | ONTARIJSKOJEZERSKI - [pravopis]
ontarijskojezerskimi | ONTARIJSKOJEZERSKI - [pravopis]
operacionalizacijama | OPERACIONALIZACIJA - stanje, ko je kaj operacionalizirano
operacionalizacijami | OPERACIONALIZACIJA - stanje, ko je kaj operacionalizirano
operacionaliziranega | OPERACIONALIZIRAN - > OPERACIONALIZACIJA - stanje, ko je kaj operacionalizirano
operacionaliziranemu | OPERACIONALIZIRAN - > OPERACIONALIZACIJA - stanje, ko je kaj operacionalizirano
operacionaliziranima | OPERACIONALIZIRAN - > OPERACIONALIZACIJA - stanje, ko je kaj operacionalizirano
operacionaliziranimi | OPERACIONALIZIRAN - > OPERACIONALIZACIJA - stanje, ko je kaj operacionalizirano
opisnogeometrijskega | OPISNOGEOMETRIJSKI - [pravopis]
opisnogeometrijskemu | OPISNOGEOMETRIJSKI - [pravopis]
opisnogeometrijskima | OPISNOGEOMETRIJSKI - [pravopis]
opisnogeometrijskimi | OPISNOGEOMETRIJSKI - [pravopis]
osemdesetletničinega | OSEMDESETLETNIČIN - [pravopis]
osemdesetletničinemu | OSEMDESETLETNIČIN - [pravopis]
osemdesetletničinima | OSEMDESETLETNIČIN - [pravopis]
osemdesetletničinimi | OSEMDESETLETNIČIN - [pravopis]
otorinolaringologija | veda o ušesu, nosu, grlu in njihovih boleznih
otorinolaringologije | OTORINOLARINGOLOGIJA - veda o ušesu, nosu, grlu in njihovih boleznih
otorinolaringologiji | OTORINOLARINGOLOGIJA - veda o ušesu, nosu, grlu in njihovih boleznih
otorinolaringologijo | OTORINOLARINGOLOGIJA - veda o ušesu, nosu, grlu in njihovih boleznih
otorinolaringologinj | OTORINOLARINGOLOGINJA - [pravopis]
otorinolaringologoma | OTORINOLARINGOLOG - zdravnik specialist za otorinolaringologijo
otorinolaringološkem | OTORINOLARINGOLOŠKI - nanašajoč se na otorinolaringologe ali otorinolaringologijo
otorinolaringoloških | OTORINOLARINGOLOŠKI - nanašajoč se na otorinolaringologe ali otorinolaringologijo
otorinolaringološkim | OTORINOLARINGOLOŠKI - nanašajoč se na otorinolaringologe ali otorinolaringologijo
otrokocentričnostima | OTROKOCENTRIČNOST - [sprotni]
paleoantropologijama | PALEOANTROPOLOGIJA - veda o izumrlih človečnjakih
paleoantropologijami | PALEOANTROPOLOGIJA - veda o izumrlih človečnjakih
paleobiogeografijama | PALEOBIOGEOGRAFIJA - [geol.] proučevanje nekdanje razprostranjenosti živih bitij na Zemlji
paleobiogeografijami | PALEOBIOGEOGRAFIJA - [geol.] proučevanje nekdanje razprostranjenosti živih bitij na Zemlji
paleoklimatologijama | PALEOKLIMATOLOGIJA - [geog.] del klimatologije, ki proučuje Zemljino podnebje v preteklih geoloških obdobjih
paleoklimatologijami | PALEOKLIMATOLOGIJA - [geog.] del klimatologije, ki proučuje Zemljino podnebje v preteklih geoloških obdobjih
paraaminobenzojskega | PARAAMINOBENZOJSKI - > SULFANILAMIDI - [farm.] kemoterapevtiki, ki kot antimetaboliti paraaminobenzojske kisline preprečujejo biosintezo folne kisline pri bakterijah
paraaminobenzojskemu | PARAAMINOBENZOJSKI - > SULFANILAMIDI - [farm.] kemoterapevtiki, ki kot antimetaboliti paraaminobenzojske kisline preprečujejo biosintezo folne kisline pri bakterijah
paraaminobenzojskima | PARAAMINOBENZOJSKI - > SULFANILAMIDI - [farm.] kemoterapevtiki, ki kot antimetaboliti paraaminobenzojske kisline preprečujejo biosintezo folne kisline pri bakterijah
paraaminobenzojskimi | PARAAMINOBENZOJSKI - > SULFANILAMIDI - [farm.] kemoterapevtiki, ki kot antimetaboliti paraaminobenzojske kisline preprečujejo biosintezo folne kisline pri bakterijah
parasimpatomimetikih | PARASIMPATOMIMETIK - [farm.] učinkovina, ki deluje kot agonist na holinergičnih receptorjih v parasimpatičnem živčnem sistemu
parasimpatomimetikom | PARASIMPATOMIMETIK - [farm.] učinkovina, ki deluje kot agonist na holinergičnih receptorjih v parasimpatičnem živčnem sistemu
parasimpatomimetikov | PARASIMPATOMIMETIK - [farm.] učinkovina, ki deluje kot agonist na holinergičnih receptorjih v parasimpatičnem živčnem sistemu
parastromatoporidnem | PARASTROMATOPORIDEN - [geol.] v zvezi »parastromatoporidni greben«: greben (1), ki ga gradijo parastromatoporidi
parastromatoporidnih | PARASTROMATOPORIDEN - [geol.] v zvezi »parastromatoporidni greben«: greben (1), ki ga gradijo parastromatoporidi
parastromatoporidnim | PARASTROMATOPORIDEN - [geol.] v zvezi »parastromatoporidni greben«: greben (1), ki ga gradijo parastromatoporidi
parastromatoporidoma | PARASTROMATOPORID - > PARASTROMATOPORIDEN - [geol.] v zvezi »parastromatoporidni greben«: greben (1), ki ga gradijo parastromatoporidi
parastromatoporoidih | PARASTROMATOPOROIDI - [geol.] skorjasti hidrozoji, ki so živeli v juri
parastromatoporoidom | PARASTROMATOPOROIDI - [geol.] skorjasti hidrozoji, ki so živeli v juri
parastromatoporoidov | PARASTROMATOPOROIDI - [geol.] skorjasti hidrozoji, ki so živeli v juri
partikularističnosti | PARTIKULARISTIČNOST - [pravopis]
pentagondodekaedrska | PENTAGONDODEKAEDRSKI - [geol.] v zvezi »pentagondodekaedrski razred«: vrsta simetrije, ki ima tri dvoštevne in štiri trištevne osi simetrije in tri ravnine simetrije
pentagondodekaedrske | PENTAGONDODEKAEDRSKI - [geol.] v zvezi »pentagondodekaedrski razred«: vrsta simetrije, ki ima tri dvoštevne in štiri trištevne osi simetrije in tri ravnine simetrije
pentagondodekaedrski | [geol.] v zvezi »pentagondodekaedrski razred«: vrsta simetrije, ki ima tri dvoštevne in štiri trištevne osi simetrije in tri ravnine simetrije
pentagondodekaedrsko | PENTAGONDODEKAEDRSKI - [geol.] v zvezi »pentagondodekaedrski razred«: vrsta simetrije, ki ima tri dvoštevne in štiri trištevne osi simetrije in tri ravnine simetrije
pentagontrioktaedrih | PENTAGONTRIOKTAEDER - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi oktaedra tri neenakostranične peterokotne ploskve
pentagontrioktaedrom | PENTAGONTRIOKTAEDER - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi oktaedra tri neenakostranične peterokotne ploskve
pentagontrioktaedrov | PENTAGONTRIOKTAEDER - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi oktaedra tri neenakostranične peterokotne ploskve
pentagontritetraeder | [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi tetraedra tri neenakostranične peterokotne ploskve
pentagontritetraedra | PENTAGONTRITETRAEDER - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi tetraedra tri neenakostranične peterokotne ploskve
pentagontritetraedre | PENTAGONTRITETRAEDER - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi tetraedra tri neenakostranične peterokotne ploskve
pentagontritetraedri | PENTAGONTRITETRAEDER - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi tetraedra tri neenakostranične peterokotne ploskve
pentagontritetraedru | PENTAGONTRITETRAEDER - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi tetraedra tri neenakostranične peterokotne ploskve
peptidiltransferazah | PEPTIDILTRANSFERAZA - > AMFENIKOLI - [farm.] antibiotiki, strukturno sorodni kloramfenikolu, ki zavirajo encim peptidiltransferazo in ovirajo sintezo proteinov pri bakterijah, npr. kloramfenikol, tiamfenikol
peptidiltransferazam | PEPTIDILTRANSFERAZA - > AMFENIKOLI - [farm.] antibiotiki, strukturno sorodni kloramfenikolu, ki zavirajo encim peptidiltransferazo in ovirajo sintezo proteinov pri bakterijah, npr. kloramfenikol, tiamfenikol
